time | time (millisecond),membrane | V (millivolt)
1076,21.4758
1077,21.4054
1078,21.3345
1079,21.2632
1080,21.1916
1081,21.1195
1082,21.0471
1083,20.9744
1084,20.9014
1085,20.8282
1086,20.7546
1087,20.6808
1088,20.6067
1089,20.5324
1090,20.4578
1091,20.383
1092,20.308
1093,20.2327
1094,20.1572
1095,20.0814
1096,20.0055
1097,19.9292
1098,19.8527
1099,19.776
1100,19.699
1101,19.6218
1102,19.5443
1103,19.4665
1104,19.3885
1105,19.3102
1106,19.2316
1107,19.1527
1108,19.0736
1109,18.9941
1110,18.9144
1111,18.8343
1112,18.7539
1113,18.6733
1114,18.5923
1115,18.5109
1116,18.4293
1117,18.3472
1118,18.2649
1119,18.1822
1120,18.0991
1121,18.0156
1122,17.9318
1123,17.8476
1124,17.763
1125,17.678
1126,17.5927
1127,17.5068
1128,17.4206
1129,17.334
1130,17.2469
1131,17.1594
1132,17.0714
1133,16.983
1134,16.8941
1135,16.8047
1136,16.7148
1137,16.6245
1138,16.5336
1139,16.4423
1140,16.3504
1141,16.258
1142,16.1651
1143,16.0716
1144,15.9776
1145,15.883
1146,15.7878
1147,15.6921
1148,15.5957
1149,15.4988
1150,15.4013
1151,15.3031
1152,15.2043
1153,15.1048
1154,15.0047
1155,14.9039
1156,14.8025
1157,14.7004
1158,14.5975
1159,14.494
1160,14.3897
1161,14.2847
1162,14.1789
1163,14.0724
1164,13.9651
1165,13.8571
1166,13.7482
1167,13.6385
1168,13.528
1169,13.4167
1170,13.3045
1171,13.1914
1172,13.0775
1173,12.9626
1174,12.8469
1175,12.7302
1176,12.6126
1177,12.494
1178,12.3745
1179,12.2539
1180,12.1324
1181,12.0098
1182,11.8862
1183,11.7616
1184,11.6359
1185,11.509
1186,11.3811
1187,11.2521
1188,11.1219
1189,10.9906
1190,10.858
1191,10.7243
1192,10.5894
1193,10.4532
1194,10.3157
1195,10.177
1196,10.037
1197,9.89566
1198,9.75298
1199,9.60894
1200,9.46352
1201,9.31669
1202,9.16844
1203,9.01873
1204,8.86756
1205,8.71488
1206,8.56069
1207,8.40496
1208,8.24766
1209,8.08877
1210,7.92827
1211,7.76612
1212,7.60231
1213,7.43682
1214,7.2696
1215,7.10065
1216,6.92993
1217,6.75742
1218,6.58308
1219,6.4069
1220,6.22885
1221,6.04889
1222,5.867
1223,5.68316
1224,5.49732
1225,5.30947
1226,5.11958
1227,4.9276
1228,4.73352
1229,4.53731
1230,4.33892
1231,4.13833
1232,3.9355
1233,3.73041
1234,3.52301
1235,3.31327
1236,3.10115
1237,2.88662
1238,2.66964
1239,2.45016
1240,2.22814
1241,2.00354
1242,1.77631
1243,1.54641
1244,1.31378
1245,1.07837
1246,0.840124
1247,0.598984
1248,0.354885
1249,0.107761
1250,-0.142458
1251,-0.395846
1252,-0.652484
1253,-0.912456
1254,-1.17585
1255,-1.44277
1256,-1.71331
1257,-1.98758
1258,-2.2657
1259,-2.54779
1260,-2.83399
1261,-3.12444
1262,-3.41927
1263,-3.71867
1264,-4.02278
1265,-4.3318
1266,-4.64591
1267,-4.96532
1268,-5.29024
1269,-5.62088
1270,-5.9575
1271,-6.30035
1272,-6.64967
1273,-7.00576
1274,-7.3689
1275,-7.7394
1276,-8.11757
1277,-8.50375
1278,-8.89828
1279,-9.30151
1280,-9.71382
1281,-10.1356
1282,-10.5672
1283,-11.0091
1284,-11.4617
1285,-11.9254
1286,-12.4006
1287,-12.8877
1288,-13.3874
1289,-13.8998
1290,-14.4257
1291,-14.9652
1292,-15.5191
1293,-16.0876
1294,-16.6712
1295,-17.2705
1296,-17.8857
1297,-18.5175
1298,-19.1662
1299,-19.8322
1300,-20.5161
1301,-21.2182
1302,-21.9392
1303,-22.6793
1304,-23.4393
1305,-24.2196
1306,-25.0209
1307,-25.8439
1308,-26.6893
1309,-27.5579
1310,-28.4508
1311,-29.3689
1312,-30.3137
1313,-31.2865
1314,-32.289
1315,-33.3231
1316,-34.391
1317,-35.4952
1318,-36.6386
1319,-37.8246
1320,-39.0571
1321,-40.3404
1322,-41.6796
1323,-43.0804
1324,-44.5492
1325,-46.0929
1326,-47.7191
1327,-49.4356
1328,-51.2496
1329,-53.1673
1330,-55.1915
1331,-57.3202
1332,-59.5432
1333,-61.8381
1334,-64.1708
1335,-66.4997
1336,-68.7756
1337,-70.9484
1338,-72.9754
1339,-74.8263
1340,-76.4855
1341,-77.9507
1342,-79.23
1343,-80.338
1344,-81.2926
1345,-82.1118
1346,-82.8126
1347,-83.4098
1348,-83.9162
1349,-84.3427
1350,-84.699
1351,-84.9937
1352,-85.235
1353,-85.4305
1354,-85.5874
1355,-85.7122
1356,-85.8108
1357,-85.8882
1358,-85.9487
1359,-85.9959
1360,-86.0327
1361,-86.0614
1362,-86.0839
1363,-86.1015
1364,-86.1154
1365,-86.1264
1366,-86.1353
1367,-86.1425
1368,-86.1485
1369,-86.1535
1370,-86.1577
1371,-86.1613
1372,-86.1646
1373,-86.1675
1374,-86.1701
1375,-86.1725
1376,-86.1748
1377,-86.1769
1378,-86.179
1379,-86.181
1380,-86.1829
1381,-86.1848
1382,-86.1866
1383,-86.1884
1384,-86.1902
1385,-86.1919
1386,-86.1936
1387,-86.1953
1388,-86.197
1389,-86.1987
1390,-86.2003
1391,-86.202
1392,-86.2036
1393,-86.2052
1394,-86.2068
1395,-86.2084
1396,-86.21
1397,-86.2116
1398,-86.2131
1399,-86.2147
1400,-86.2162
1401,-86.2177
1402,-86.2192
1403,-86.2207
1404,-86.2222
1405,-86.2237
1406,-86.2251
1407,-86.2266
1408,-86.228
1409,-86.2294
1410,-86.2308
1411,-86.2322
1412,-86.2336
1413,-86.235
1414,-86.2364
1415,-86.2377
1416,-86.2391
1417,-86.2404
1418,-86.2417
1419,-86.243
1420,-86.2443
1421,-86.2456
1422,-86.2469
1423,-86.2482
1424,-86.2494
1425,-86.2507
1426,-86.2519
