environment | time (millisecond),membrane | V (millivolt)
1624,-86.3752
1625,-86.3753
1626,-86.3755
1627,-86.3757
1628,-86.3759
1629,-86.376
1630,-86.3762
1631,-86.3764
1632,-86.3765
1633,-86.3767
1634,-86.3769
1635,-86.377
1636,-86.3772
1637,-86.3773
1638,-86.3775
1639,-86.3777
1640,-86.3778
1641,-86.378
1642,-86.3781
1643,-86.3783
1644,-86.3784
1645,-86.3786
1646,-86.3787
1647,-86.3789
1648,-86.379
1649,-86.3792
1650,-86.3793
1651,-86.3795
1652,-86.3796
1653,-86.3797
1654,-86.3799
1655,-86.38
1656,-86.3802
1657,-86.3803
1658,-86.3804
1659,-86.3806
1660,-86.3807
1661,-86.3808
1662,-86.381
1663,-86.3811
1664,-86.3812
1665,-86.3814
1666,-86.3815
1667,-86.3816
1668,-86.3817
1669,-86.3819
1670,-86.382
1671,-86.3821
1672,-86.3822
1673,-86.3824
1674,-86.3825
1675,-86.3826
1676,-86.3827
1677,-86.3828
1678,-86.3829
1679,-86.3831
1680,-86.3832
1681,-86.3833
1682,-86.3834
1683,-86.3835
1684,-86.3836
1685,-86.3837
1686,-86.3839
1687,-86.384
1688,-86.3841
1689,-86.3842
1690,-86.3843
1691,-86.3844
1692,-86.3845
1693,-86.3846
1694,-86.3847
1695,-86.3848
1696,-86.3849
1697,-86.385
1698,-86.3851
1699,-86.3852
1700,-86.3853
1701,-86.3854
1702,-86.3855
1703,-86.3856
1704,-86.3857
1705,-86.3858
1706,-86.3859
1707,-86.386
1708,-86.3861
1709,-86.3862
1710,-86.3863
1711,-86.3864
1712,-86.3864
1713,-86.3865
1714,-86.3866
1715,-86.3867
1716,-86.3868
