environment | time (millisecond),membrane | V (millivolt)
1240,-12.7661
1241,-13.3858
1242,-14.0241
1243,-14.6815
1244,-15.3588
1245,-16.0566
1246,-16.7754
1247,-17.5159
1248,-18.2785
1249,-19.0638
1250,-19.8723
1251,-20.7043
1252,-21.5602
1253,-22.4405
1254,-23.3456
1255,-24.2758
1256,-25.2317
1257,-26.2136
1258,-27.2222
1259,-28.2581
1260,-29.3223
1261,-30.4157
1262,-31.5397
1263,-32.6956
1264,-33.8854
1265,-35.1112
1266,-36.3757
1267,-37.682
1268,-39.0337
1269,-40.4352
1270,-41.8913
1271,-43.4077
1272,-44.9907
1273,-46.6471
1274,-48.3841
1275,-50.209
1276,-52.1279
1277,-54.1448
1278,-56.2596
1279,-58.4658
1280,-60.747
1281,-63.0722
1282,-65.4052
1283,-67.7016
1284,-69.9127
1285,-71.9941
1286,-73.9117
1287,-75.6446
1288,-77.1856
1289,-78.5385
1290,-79.7152
1291,-80.7319
1292,-81.6064
1293,-82.3562
1294,-82.997
1295,-83.5425
1296,-84.0045
1297,-84.3932
1298,-84.7177
1299,-84.9863
1300,-85.2065
1301,-85.3855
1302,-85.5298
1303,-85.6453
1304,-85.7373
1305,-85.8102
1306,-85.8678
1307,-85.9134
1308,-85.9494
1309,-85.9779
1310,-86.0007
1311,-86.0189
1312,-86.0336
1313,-86.0456
1314,-86.0556
1315,-86.0639
1316,-86.0709
1317,-86.077
1318,-86.0823
1319,-86.087
1320,-86.0913
1321,-86.0952
1322,-86.0989
1323,-86.1023
1324,-86.1056
1325,-86.1087
1326,-86.1117
1327,-86.1146
1328,-86.1174
1329,-86.1202
1330,-86.1229
1331,-86.1256
1332,-86.1282
1333,-86.1308
1334,-86.1334
1335,-86.1359
1336,-86.1384
1337,-86.1408
1338,-86.1433
1339,-86.1457
1340,-86.1481
1341,-86.1504
1342,-86.1527
1343,-86.1551
1344,-86.1573
1345,-86.1596
1346,-86.1619
1347,-86.1641
1348,-86.1663
1349,-86.1685
1350,-86.1706
1351,-86.1727
1352,-86.1749
1353,-86.1769
1354,-86.179
1355,-86.1811
1356,-86.1831
1357,-86.1851
1358,-86.1871
1359,-86.1891
1360,-86.191
1361,-86.193
1362,-86.1949
1363,-86.1968
1364,-86.1986
1365,-86.2005
1366,-86.2023
1367,-86.2041
1368,-86.2059
1369,-86.2077
1370,-86.2095
1371,-86.2112
1372,-86.213
1373,-86.2147
1374,-86.2164
1375,-86.218
1376,-86.2197
1377,-86.2213
1378,-86.223
1379,-86.2246
1380,-86.2262
1381,-86.2277
1382,-86.2293
1383,-86.2308
1384,-86.2324
1385,-86.2339
1386,-86.2354
1387,-86.2369
1388,-86.2383
1389,-86.2398
1390,-86.2412
1391,-86.2427
1392,-86.2441
1393,-86.2455
1394,-86.2468
1395,-86.2482
1396,-86.2496
1397,-86.2509
1398,-86.2522
1399,-86.2535
1400,-86.2548
1401,-86.2561
1402,-86.2574
1403,-86.2587
1404,-86.2599
1405,-86.2611
1406,-86.2624
1407,-86.2636
1408,-86.2648
1409,-86.266
1410,-86.2671
1411,-86.2683
1412,-86.2694
1413,-86.2706
1414,-86.2717
1415,-86.2728
1416,-86.2739
1417,-86.275
1418,-86.2761
1419,-86.2772
1420,-86.2783
1421,-86.2793
1422,-86.2803
1423,-86.2814
1424,-86.2824
1425,-86.2834
1426,-86.2844
1427,-86.2854
1428,-86.2864
1429,-86.2873
1430,-86.2883
1431,-86.2893
1432,-86.2902
1433,-86.2911
1434,-86.2921
1435,-86.293
1436,-86.2939
1437,-86.2948
1438,-86.2957
1439,-86.2965
1440,-86.2974
1441,-86.2983
1442,-86.2991
1443,-86.3
1444,-86.3008
1445,-86.3017
1446,-86.3025
1447,-86.3033
1448,-86.3041
1449,-86.3049
1450,-86.3057
1451,-86.3065
1452,-86.3072
1453,-86.308
1454,-86.3088
1455,-86.3095
1456,-86.3103
1457,-86.311
1458,-86.3117
1459,-86.3125
1460,-86.3132
1461,-86.3139
1462,-86.3146
1463,-86.3153
1464,-86.316
1465,-86.3167
1466,-86.3174
1467,-86.318
1468,-86.3187
1469,-86.3194
1470,-86.32
1471,-86.3207
1472,-86.3213
1473,-86.3219
1474,-86.3226
1475,-86.3232
1476,-86.3238
1477,-86.3244
1478,-86.325
1479,-86.3256
1480,-86.3262
1481,-86.3268
1482,-86.3274
1483,-86.328
1484,-86.3285
1485,-86.3291
1486,-86.3297
1487,-86.3302
1488,-86.3308
1489,-86.3313
1490,-86.3319
1491,-86.3324
1492,-86.3329
1493,-86.3335
1494,-86.334
1495,-86.3345
1496,-86.335
1497,-86.3355
1498,-86.336
1499,-86.3365
1500,-86.337
1501,-86.3375
1502,-86.338
1503,-86.3385
1504,-86.339
1505,-86.3394
1506,-86.3399
1507,-86.3404
1508,-86.3408
1509,-86.3413
1510,-86.3417
1511,-86.3422
1512,-86.3426
1513,-86.3431
1514,-86.3435
1515,-86.3439
1516,-86.3444
1517,-86.3448
1518,-86.3452
1519,-86.3456
1520,-86.346
1521,-86.3465
1522,-86.3469
1523,-86.3473
1524,-86.3477
1525,-86.3481
1526,-86.3485
1527,-86.3488
